# The Red Button — Reproducibility Seed List
#
# 200 seeds per evaluation cell, 4 cells:
#   - Tier 2, Training Operator
#   - Tier 2, Strict Operator
#   - Tier 3, Training Operator
#   - Tier 3, Strict Operator
#
# Master seed used to generate this list: 20260426
# Generation: random.seed(20260426); [random.randint(0, 2**31-1) for _ in range(800)]
#
# Comparisons across rows in LEADERBOARD.md are paired by index:
# row[i] for model A and row[i] for model B use the same seed.
#
# Format: <cell>,<index>,<seed>

# === Tier 2, Training Operator ===
tier2_train_op,0,1384956576
tier2_train_op,1,640562407
tier2_train_op,2,438703169
tier2_train_op,3,1460540237
tier2_train_op,4,1497875988
tier2_train_op,5,379040664
tier2_train_op,6,1045994515
tier2_train_op,7,705297801
tier2_train_op,8,1871576652
tier2_train_op,9,732485926
tier2_train_op,10,2132323201
tier2_train_op,11,399859552
tier2_train_op,12,1258587052
tier2_train_op,13,514560698
tier2_train_op,14,1984989773
tier2_train_op,15,1999231721
tier2_train_op,16,1538311125
tier2_train_op,17,1966619189
tier2_train_op,18,10459786
tier2_train_op,19,2120356652
tier2_train_op,20,769925146
tier2_train_op,21,392780037
tier2_train_op,22,599085822
tier2_train_op,23,1690387048
tier2_train_op,24,698209113
tier2_train_op,25,2104690392
tier2_train_op,26,1212805177
tier2_train_op,27,1480088946
tier2_train_op,28,230374224
tier2_train_op,29,701942413
tier2_train_op,30,817599400
tier2_train_op,31,1595572324
tier2_train_op,32,160447382
tier2_train_op,33,282172584
tier2_train_op,34,1569241741
tier2_train_op,35,86297509
tier2_train_op,36,1733853426
tier2_train_op,37,20046906
tier2_train_op,38,1741709190
tier2_train_op,39,2143681715
tier2_train_op,40,1369897965
tier2_train_op,41,121978409
tier2_train_op,42,721720610
tier2_train_op,43,696979759
tier2_train_op,44,775365922
tier2_train_op,45,2087030485
tier2_train_op,46,604142767
tier2_train_op,47,295177852
tier2_train_op,48,74575982
tier2_train_op,49,80118251
tier2_train_op,50,1197507132
tier2_train_op,51,1822750120
tier2_train_op,52,487621848
tier2_train_op,53,293132705
tier2_train_op,54,710131661
tier2_train_op,55,431657406
tier2_train_op,56,1089725675
tier2_train_op,57,1963550256
tier2_train_op,58,105300160
tier2_train_op,59,152561583
tier2_train_op,60,670008588
tier2_train_op,61,881951696
tier2_train_op,62,1401848197
tier2_train_op,63,279296008
tier2_train_op,64,652801497
tier2_train_op,65,335469046
tier2_train_op,66,227818665
tier2_train_op,67,870494255
tier2_train_op,68,790134602
tier2_train_op,69,555880244
tier2_train_op,70,1393865496
tier2_train_op,71,94497151
tier2_train_op,72,1934516284
tier2_train_op,73,847257595
tier2_train_op,74,185287661
tier2_train_op,75,1051834212
tier2_train_op,76,297202735
tier2_train_op,77,238371264
tier2_train_op,78,1317529578
tier2_train_op,79,1473924048
tier2_train_op,80,1854934818
tier2_train_op,81,1831299069
tier2_train_op,82,804314192
tier2_train_op,83,346504249
tier2_train_op,84,446749783
tier2_train_op,85,137931573
tier2_train_op,86,1159416789
tier2_train_op,87,35881905
