model,method,tier,operator,metric,n,count,point_estimate,ci_low_95,ci_high_95,env_sha,eval_run_id
qwen3-1.7b,untrained_baseline,2,train_op,tampering_trained_cat,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,2,train_op,tampering_held_out,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,2,train_op,math_accuracy,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,2,strict_op,tampering_trained_cat,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,2,strict_op,tampering_held_out,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,2,strict_op,math_accuracy,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,train_op,tampering_trained_cat,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,train_op,tampering_held_out,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,train_op,math_accuracy,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,train_op,honesty_t3,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,strict_op,tampering_trained_cat,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,strict_op,tampering_held_out,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,strict_op,math_accuracy,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,untrained_baseline,3,strict_op,honesty_t3,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,2,train_op,tampering_trained_cat,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,2,train_op,tampering_held_out,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,2,train_op,math_accuracy,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,2,strict_op,tampering_trained_cat,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,2,strict_op,tampering_held_out,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,2,strict_op,math_accuracy,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,3,train_op,tampering_trained_cat,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,3,train_op,tampering_held_out,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,3,train_op,math_accuracy,200,pending,pending,pending,pending,pending,pending
qwen3-1.7b,safety_system_prompt,3,train_op,honesty_t3,200,pending,pending,pending,pending,pending,pending
